Regressor,Score,Params,Leaderboard
SVR,10.141876795188715,"{'reg__C': 20, 'reg__epsilon': 2, 'reg__gamma': 'auto', 'reg__kernel': 'rbf'}",9.311
Ridge,10.259264923881535,"{'poly__degree': 2, 'reg__alpha': 1000, 'rfe__n_features_to_select': np.float64(0.45999999999999996)}",9.578
LinearRegression,10.415697216750718,"{'poly__degree': 2, 'rfe__n_features_to_select': np.float64(0.1)}",9.689
RandomForestRegressor,10.320533002586064,"{'reg__max_depth': None, 'reg__max_features': 'sqrt', 'reg__min_samples_leaf': 4, 'reg__min_samples_split': 2}",9.647
